model,metrics,parameters,selected_features
RandomForest,"{'test_auc': np.float64(0.840350259164081), 'oot_auc': np.float64(0.6678874274667161), 'threshold_metrics': {'threshold_0.5': {'test': {'precision': np.float64(0.8533916849015317), 'recall': np.float64(0.7375886524822695), 'f1': np.float64(0.7912756784174486), 'auc': np.float64(0.840350259164081)}, 'oot': {'precision': np.float64(0.7721021611001965), 'recall': np.float64(0.47578692493946734), 'f1': np.float64(0.5887640449438202), 'auc': np.float64(0.6678874274667161)}}, 'threshold_0.8': {'test': {'precision': np.float64(0.8533916849015317), 'recall': np.float64(0.7375886524822695), 'f1': np.float64(0.7912756784174486), 'auc': np.float64(0.840350259164081)}, 'oot': {'precision': np.float64(0.7721021611001965), 'recall': np.float64(0.47578692493946734), 'f1': np.float64(0.5887640449438202), 'auc': np.float64(0.6678874274667161)}}, 'threshold_0.85': {'test': {'precision': np.float64(0.8533916849015317), 'recall': np.float64(0.7375886524822695), 'f1': np.float64(0.7912756784174486), 'auc': np.float64(0.840350259164081)}, 'oot': {'precision': np.float64(0.7721021611001965), 'recall': np.float64(0.47578692493946734), 'f1': np.float64(0.5887640449438202), 'auc': np.float64(0.6678874274667161)}}, 'threshold_0.9': {'test': {'precision': np.float64(0.8533916849015317), 'recall': np.float64(0.7375886524822695), 'f1': np.float64(0.7912756784174486), 'auc': np.float64(0.840350259164081)}, 'oot': {'precision': np.float64(0.7721021611001965), 'recall': np.float64(0.47578692493946734), 'f1': np.float64(0.5887640449438202), 'auc': np.float64(0.6678874274667161)}}, 'threshold_0.95': {'test': {'precision': np.float64(0.8533916849015317), 'recall': np.float64(0.7375886524822695), 'f1': np.float64(0.7912756784174486), 'auc': np.float64(0.840350259164081)}, 'oot': {'precision': np.float64(0.7721021611001965), 'recall': np.float64(0.47578692493946734), 'f1': np.float64(0.5887640449438202), 'auc': np.float64(0.6678874274667161)}}}}","{'n_estimators': 100, 'max_depth': 11, 'min_samples_split': 8, 'min_samples_leaf': 3, 'random_state': 2024}","['default_profile', 'default_profile_image', 'geo_enabled', 'deviation_from_humans', 'location', 'verified', 'account_age_days', 'is_description_na', 'is_lang_na', 'is_lang_en', 'is_location_unknown', 'creation_hour', 'creation_day_of_week', 'creation_month', 'creation_year', 'is_weekend', 'creation_quarter', 'part_of_day', 'creation_week_of_year', 'is_beginning_of_month', 'is_end_of_month', 'description_length', 'influencer_type', 'favourites_per_day', 'favourites_activity', 'mention_count', 'log_favourites_count', 'log_followers_count', 'log_friends_count', 'log_statuses_count', 'log_average_tweets_per_day', 'log_fol_to_friends_ratio', 'log_fol_to_tweets_ratio', 'log_friends_to_tweets_ratio', 'sentiment_label']"
XGBoost,"{'test_auc': np.float64(0.9421476720898174), 'oot_auc': np.float64(0.6713460467807715), 'threshold_metrics': {'threshold_0.5': {'test': {'precision': np.float64(0.8442622950819673), 'recall': np.float64(0.7791962174940898), 'f1': np.float64(0.8104253749692648), 'auc': np.float64(0.8573331968387452)}, 'oot': {'precision': np.float64(0.8486547085201793), 'recall': np.float64(0.4582324455205811), 'f1': np.float64(0.595125786163522), 'auc': np.float64(0.6883799523921553)}}, 'threshold_0.8': {'test': {'precision': np.float64(0.9493575207860923), 'recall': np.float64(0.5938534278959811), 'f1': np.float64(0.7306573589296103), 'auc': np.float64(0.7898156971787271)}, 'oot': {'precision': np.float64(0.9491525423728814), 'recall': np.float64(0.2711864406779661), 'f1': np.float64(0.4218455743879473), 'auc': np.float64(0.6283512167179812)}}, 'threshold_0.85': {'test': {'precision': np.float64(0.961730449251248), 'recall': np.float64(0.5465721040189125), 'f1': np.float64(0.6970153753391619), 'auc': np.float64(0.768403861391753)}, 'oot': {'precision': np.float64(0.9699248120300752), 'recall': np.float64(0.23426150121065376), 'f1': np.float64(0.3773768893222818), 'auc': np.float64(0.613509748794826)}}, 'threshold_0.9': {'test': {'precision': np.float64(0.9766309639727361), 'recall': np.float64(0.47423167848699765), 'f1': np.float64(0.6384468491406747), 'auc': np.float64(0.7345686093560015)}, 'oot': {'precision': np.float64(0.9728813559322034), 'recall': np.float64(0.17372881355932204), 'f1': np.float64(0.2948125321006677), 'auc': np.float64(0.5844504055726604)}}, 'threshold_0.95': {'test': {'precision': np.float64(0.9921363040629095), 'recall': np.float64(0.357919621749409), 'f1': np.float64(0.5260597637248089), 'auc': np.float64(0.6783230034028301)}, 'oot': {'precision': np.float64(0.9790209790209791), 'recall': np.float64(0.0847457627118644), 'f1': np.float64(0.15598885793871867), 'auc': np.float64(0.541467630903307)}}}, 'cv_score_mean': np.float64(0.9382081720731229), 'cv_score_std': np.float64(0.0027894546683543964)}","{'objective': 'binary:logistic', 'eval_metric': 'auc', 'max_depth': 7, 'learning_rate': 0.01454404539252666, 'subsample': 0.6410234224068007, 'colsample_bytree': 0.949025284775692, 'min_child_weight': 6, 'n_estimators': 900, 'random_state': 2024}","['default_profile', 'geo_enabled', 'deviation_from_humans', 'location', 'verified', 'account_age_days', 'is_lang_na', 'is_lang_en', 'description_length', 'influencer_type', 'favourites_per_day', 'favourites_activity', 'log_favourites_count', 'log_followers_count', 'log_friends_count', 'log_statuses_count', 'log_average_tweets_per_day', 'log_fol_to_friends_ratio', 'log_fol_to_tweets_ratio', 'log_friends_to_tweets_ratio']"
LightGBM,"{'test_auc': np.float64(0.9430717203787926), 'oot_auc': np.float64(0.6599728790179166), 'threshold_metrics': {'threshold_0.5': {'test': {'precision': np.float64(0.8431069958847737), 'recall': np.float64(0.7749408983451537), 'f1': np.float64(0.8075880758807588), 'auc': np.float64(0.8550994026856314)}, 'oot': {'precision': np.float64(0.8344988344988346), 'recall': np.float64(0.43341404358353514), 'f1': np.float64(0.5705179282868525), 'auc': np.float64(0.6738585003675068)}}, 'threshold_0.8': {'test': {'precision': np.float64(0.9553030303030303), 'recall': np.float64(0.5962174940898345), 'f1': np.float64(0.7342066957787482), 'auc': np.float64(0.7918468069048197)}, 'oot': {'precision': np.float64(0.9586206896551724), 'recall': np.float64(0.2524213075060533), 'f1': np.float64(0.3996166746526114), 'auc': np.float64(0.6207791510372753)}}, 'threshold_0.85': {'test': {'precision': np.float64(0.9641943734015346), 'recall': np.float64(0.5347517730496454), 'f1': np.float64(0.6879562043795621), 'auc': np.float64(0.7629182342217024)}, 'oot': {'precision': np.float64(0.9627507163323782), 'recall': np.float64(0.2033898305084746), 'f1': np.float64(0.335832083958021), 'auc': np.float64(0.5977721632928612)}}, 'threshold_0.9': {'test': {'precision': np.float64(0.9766260162601627), 'recall': np.float64(0.45437352245862883), 'f1': np.float64(0.6202000645369474), 'auc': np.float64(0.7247456659204627)}, 'oot': {'precision': np.float64(0.9835390946502057), 'recall': np.float64(0.14467312348668282), 'f1': np.float64(0.25224274406332453), 'auc': np.float64(0.571129561139841)}}, 'threshold_0.95': {'test': {'precision': np.float64(0.9943100995732574), 'recall': np.float64(0.3304964539007092), 'f1': np.float64(0.49609652235628104), 'auc': np.float64(0.6648236886357717)}, 'oot': {'precision': np.float64(0.990909090909091), 'recall': np.float64(0.06598062953995157), 'f1': np.float64(0.12372304199772985), 'auc': np.float64(0.5326885646191007)}}}, 'cv_score_mean': np.float64(0.9378436901757773), 'cv_score_std': np.float64(0.003656309315735182)}","{'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'num_leaves': 30, 'learning_rate': 0.022370456176627272, 'feature_fraction': 0.770364762556544, 'bagging_fraction': 0.7179778408981374, 'bagging_freq': 3, 'min_child_samples': 70, 'max_depth': 11, 'n_estimators': 1000, 'verbose': -1, 'random_state': 2024}","['default_profile', 'default_profile_image', 'geo_enabled', 'deviation_from_humans', 'location', 'verified', 'account_age_days', 'is_description_na', 'is_lang_na', 'is_lang_en', 'is_location_unknown', 'creation_hour', 'creation_day_of_week', 'creation_month', 'creation_year', 'is_weekend', 'creation_quarter', 'part_of_day', 'creation_week_of_year', 'is_beginning_of_month', 'is_end_of_month', 'description_length', 'influencer_type', 'favourites_per_day', 'favourites_activity', 'mention_count', 'log_favourites_count', 'log_followers_count', 'log_friends_count', 'log_statuses_count', 'log_average_tweets_per_day', 'log_fol_to_friends_ratio', 'log_fol_to_tweets_ratio', 'log_friends_to_tweets_ratio', 'sentiment_label']"
